County,Date of  Incident,Practice  Review?,Notification,90 Day,6 Month,age,gender,in_home,out_home,Serious Injury,Death / Alleged maltreatment,Egregious incident,Death / Alleged suicide in out-of-home care,status
La Crosse,2023-05-31,No,230531DSP-LaCr-1233,No,No,,,,,,,,,Error Processing
Washington,2023-05-27,No,230527DSP-Wash-1232,No,No,,F,False,True,False,True,False,False,Done
Vernon,2023-05-31,No,230525DSP-Vern-1231,No,No,4,M,False,True,False,False,True,False,Done
Chippewa,2023-05-21,No,230521DSP-Chipp-1230,No,No,16,M,False,True,True,False,False,False,Done
Fond Du Lac,2023-05-14,No,230514DSP-Fond-1229,No,No,3,M,False,True,False,True,False,False,Done
Polk,2023-04-29,No,230429DSP-Polk-1228,No,No,1w,F,False,True,False,True,False,False,Done
Dane,2023-04-24,No,230424DSP-Dane-1227,No,No,5,F,False,True,False,False,True,False,Done
Waukesha,2023-04-16,No,230416DSP-Wauk-1226,No,No,12,F,False,True,False,False,True,False,Done
Milwaukee,2023-04-17,No,230417DSP-Milw-1225,No,No,,F,False,True,True,False,False,False,Done
Milwaukee,2023-04-07,No,230407DSP-Milw-1224,No,No,8,M,False,True,False,False,True,False,Done
Walworth,2023-01-20,No,230120DSP-Walw-1223,No,No,13,M,False,True,False,True,False,False,Done
La Crosse,2023-04-07,No,230406DSP-LaCr-1221,No,No,6,F,False,True,True,False,False,False,Done
Milwaukee,2023-04-01,No,230401DSP-Milw-1220,No,No,,Missing,False,True,False,True,False,False,Done
Jefferson,2023-01-27,No,230127DSP-Jeff-1219,No,No,,M,False,True,False,True,False,False,Done
Kenosha,2023-03-24,No,230322DSP-Keno-1218,No,No,7,M,False,True,False,False,True,False,Done
Buffalo,2023-03-08,No,230308DSP-Buff-1217,No,No,7,F,False,True,False,True,False,False,Done
Washburn,2023-03-01,No,230301DSP-Wshb-1216,No,No,2,F,False,True,False,False,True,False,Done
Milwaukee,2023-03-04,No,230304DSP-Milw-1215,No,No,2,M,False,True,False,True,False,False,Done
Milwaukee,2023-02-24,No,230224DSP-Wauk-1214,No,No,15,M,False,True,False,False,True,False,Done
Milwaukee,2023-02-13,No,230213DSP-Milw-1213,No,No,2,M,False,True,False,False,True,False,Done
Milwaukee,2023-02-21,No,230221DSP-Milw-1212,230221DSP-Milw-1212-90D,No,5,M,False,True,True,False,False,False,Done
Dane,2023-02-20,No,230220DSP-Dane-1211,230220DSP-Dane-1211-90D,No,6,M,False,True,False,False,True,False,Done
Brown,2023-02-13,Yes,230213DSP-Brown-1210,230213DSP-Brown-1210-90D,No,2w,F,False,True,True,False,False,False,Done
Wood,2023-02-15,No,230212DSP-Wood-1209,230212DSP-Wood-1209-90D,No,,F,False,True,False,True,False,False,Done
La Crosse,2023-02-11,Yes,230211DSP-LaCr-1208,230211DSP-LaCr-1208-90D,No,6,M,False,True,False,True,False,False,Done
Milwaukee,2023-02-11,No,230211DSP-Milw-1207,230211DSP-Milw-1207-90D,No,1,F,False,True,False,True,False,False,Done
Wood,2023-02-02,No,230202DSP-Wood-1206,230202DSP-Wood-1206-90D,No,,F,False,True,False,True,False,False,Done
Milwaukee,2023-02-04,No,230204DSP-Milw-1205,230204DSP-Milw-1205-90D,No,5w,Missing,False,True,False,True,False,False,Done
Milwaukee,2023-01-27,No,230127DSP-Milw-1204,230127DSP-Milw-1204-90D,No,1,M,False,True,False,True,False,False,Done
Dane,2023-01-24,No,230124DSP-Dane-1203,230124DSP-Dane-1203-90D,No,,F,False,True,True,False,False,False,Done
Waukesha,2022-01-17,No,230117DSP-Wauk-1202,230117DSP-Wauk-1202-90D,No,,,,,,,,,No PDF
St. Croix,2022-11-17,No,221117DSP-StCro-1201,221117DSP-StCro-1201-90D,No,,M,False,True,True,False,False,False,Done
Dane,2023-01-14,No,230114DSP-Dane-1200,230114DSP-Dane-1200-90D,No,,,,,,,,,Error Processing
Milwaukee,2023-01-18,No,230114DSP-Milw-1199,230114DSP-Milw-1199-90D,No,,F,False,True,False,False,True,False,Done
Milwaukee,2022-12-25,Yes,221225DSP-Milw-1197,221225DSP-Milw-1197-90D,No,,F,False,True,True,False,False,False,Done
Vernon,2023-01-08,No,230108DSP-Vern-1198,230108DSP-Vern-1198-90D,No,1,M,False,True,True,False,False,False,Done
Milwaukee,2022-12-16,No,221216DPS-Milw-1196,221216DPS-Milw-1196-90D,No,,,,,,,,,No PDF
Juneau,2022-10-07,No,221007DSP-June-1195,221007DSP-June-1195-90D,No,,M,False,True,False,True,False,False,Done
Winnebago,2022-11-26,No,221126DSP-Winn-1194,221126DSP-Winn-1194-90D,No,,M,False,True,False,True,False,False,Done
Barron,2022-11-18,No,221118DSP-Barr-1193,221118DSP-Barr-1193-90D,No,,M,False,True,True,False,False,False,Done
Winnebago,2022-11-12,No,221112DSP-Winn-1192,221112DSP-Winn-1192-90D,No,3,F,False,True,False,True,False,False,Done
Winnebago,2022-11-07,No,221107DSP-Winn-1191,221107DSP-Winn-1191-90D,No,1,F,False,True,False,False,True,False,Done
Juneau,2022-07-16,No,220716DSP-June-1190,220716DSP-June-1190-90D,No,1,M,False,True,True,False,False,False,Done
Barr,2022-11-07,No,221107DSP-Barr-1189,221107DSP-Barr-1189-90D,No,17,M,False,True,True,False,False,False,Done
Milwaukee,2022-10-28,No,221028DSP-Milw-1188,221028DSP-Milw-1188-90D,No,1,F,False,True,True,False,False,False,Done
Milwaukee,2022-10-24,No,221024DSP-Milw-1187,221024DSP-Milw-1187-90D,No,5w,M,False,True,False,True,False,False,Done
Brown,2022-10-17,No,221017DSP-Brown-1186,221017DSP-Brown-1186-90D,No,5,F,False,True,False,True,False,False,Done
Fond Du Lac,2022-10-16,Yes,221016DSP-Fond-1185,221016DSP-Fond-1185-90D,No,5w,M,False,True,False,True,False,False,Done
Washington,2022-10-06,No,221006DSP-Wash-1183,221006DSP-Wash-1183-90D,No,,Missing,False,True,False,True,False,False,Done
Manitowoc,2022-10-06,Yes,221006DSP-Mani-1184,221006DSP-Mani-1184-90D,No,3,M,False,True,False,True,False,False,Done
Dane,2022-10-06,No,221006DSP-Dane-1182,221006DSP-Dane-1182-90D,No,,M,False,True,True,False,False,False,Done
Fond Du Lac,2022-09-26,Yes,220926DSP-Fond-1181,220926DSP-Fond-1181-90D,No,1,F,False,True,False,True,False,False,Done
Milwaukee,2021-08-06,No,210806DSP-Milw-1180,210806DSP-Milw-1180-90D,No,,,,,,,,,No PDF
Marathon,2021-08-06,No,210806-DSP-Mara-1179,210806-DSP-Mara-1179-90D,No,,,,,,,,,No PDF
Milwaukee,2022-10-02,No,221002DSP-Milw-1178,221002DSP-Milw-1178-90D,No,1,F,False,True,False,True,False,False,Done
Milwaukee,2022-09-24,No,220924DSP-Milw-1177,220924DSP-Milw-1177-90D,No,12,M,False,True,False,True,False,False,Done
Manitowoc,2022-10-01,No,221001DSP-Mani-1176,221001DSP-Mani-1176-90D,No,1,M,False,True,False,True,False,False,Done
Fond Du Lac,2022-09-24,No,220924DSP-Fond-1175,220924DSP-Fond-1175-90D,No,7w,M,False,True,True,False,False,False,Done
Rock,2022-09-15,No,220915-DSP-Rock-1174,220915-DSP-Rock-1174-90D,No,,,,,,,,,No PDF
Milwaukee,2022-09-19,No,220919-DSP-Milw-1173,220919-DSP-Milw-1173-90D,No,,,,,,,,,No PDF
Chippewa,2022-09-18,No,220918DSP-Chipp-1172,220918DSP-Chipp-1172-90D,No,3,M,False,True,True,False,False,False,Done
Green,2022-09-12,No,220912DSP-Green-1171,220912DSP-Green-1171-90D,No,5,F,False,True,False,False,True,False,Done
Winnebago,2022-09-03,No,220903DSP-Winn-1170,220903DSP-Winn-1170-90D,No,,F,False,True,False,True,False,False,Done
Trempealeau,2022-09-08,No,220908DSP-Tremp-1169,220908DSP-Tremp-1169-90D,No,6,F,False,True,False,False,True,False,Done
Milwaukee,2022-08-31,No,220831DSP-Milw-1168,220831DSP-Milw-1168-90D,No,,M,False,True,True,False,False,False,Done
Milwaukee,2022-08-27,No,220827DSP-Milw-1167,220827DSP-Milw-1167-90D,No,2,M,False,True,True,False,False,False,Done
Milwaukee,2022-08-20,No,220820DSP-Milw-1166,220820DSP-Milw-1166-90D,No,1,M,False,True,False,True,False,False,Done
Kenosha,2022-08-11,No,220811DSP-Keno-1165,220811DSP-Keno-1165-90D,No,8,M,False,True,False,True,False,False,Done
Racine,2022-08-16,No,220816DSP-Racin-1164,220816DSP-Racin-1164-90D,No,3,M,False,True,False,True,False,False,Done
Milwaukee,2022-07-20,No,220720DSP-Milw-1163,220720DSP-Milw-1163-90D,No,3w,F,False,True,False,True,False,False,Done
Dane,2022-07-15,No,220715DSP-Milw-1162,220715DSP-Milw-1162-90D,No,2,F,False,True,False,True,False,False,Done
Dane,2022-01-01,Yes,220101DSP-Dane-1161,220101DSP-Dane-1161-90D,No,,M,False,True,False,True,False,False,Done
Milwaukee,2022-07-13,No,220706DSP-Milw-1160,220706DSP-Milw-1160-90D,No,,M,False,True,False,True,False,False,Done
St Croix,2022-06-30,No,220630DSP-StCro-1159,220630DSP-StCro-1159-90D,No,,M,False,True,False,True,False,False,Done
Milwaukee,2022-07-01,No,220701DSP-Milw-1158,220701DSP-Milw-1158-90D,No,3,M,False,True,False,True,False,False,Done
Waupaca,2022-06-29,No,220629DSP-Waup-1157,220629DSP-Waup-1157-90D,No,6,F,False,True,False,True,False,False,Done
Milwaukee,2022-07-02,No,220702DSP-Milw-1156,220702DSP-Milw-1156-90D,No,3,M,False,True,False,False,True,False,Done
Brown,2022-06-16,No,220616DSP-Brown-1155,220616DSP-Brown-1155-90D,No,,M,False,True,False,True,False,False,Done
